ID Number,Title,Preferred Language,Gender,Relationship Types,Faculty of Graduation,Year of Graduation,Province,Lifetime Giving,Year of Last Gift,Year of First Gift,Largest Gift,Events Attended in Lifetime,Past Traveler Y/N,# of Instances of Volunteering,# of Clicks in the Past Month
100001,,E,M,Graduate,Medicine -- General,1968,ON,73600,1997,1978,22080,0,N,0,27
100002,,E,M,Graduate,Arts -- General,1958,NB,8035,1962,1961,1768,14,N,1,19
100003,,E,F,Graduate,Science -- General,1963,ON,9675,1961,1961,3483,15,N,1,18
100004,, ,M,Graduate,Education -- General,1960,BC,4070,1990,1986,2768,14,N,2,10
100005,,E,M,Graduate,Management,1955,QC,13377,1970,1957,3077,0,N,0,16
100006,,E,M,Graduate,Engineer -- General,1969,SK,1890,1970,1968,1115,15,N,3,16
100007,, ,M,Graduate,Engineer -- Architect,1970,NB,50,1976,1972,43,1,Y,3,14
100008,,E,F,Graduate,Medicine -- Nursing,1968,ON,975,1997,1977,137,15,N,0,14
100009,,E,M,Graduate,Law,1959,ON,125043,1958,1958,71275,7,N,1,28
100010,,E,F,"Graduate, Former Faculty/Staff",Arts -- General,1970,ON,3468,1981,1969,1838,13,N,2,19
100011,,E,F,Graduate,Arts -- General,1965,NS,1932,1967,1966,1893,14,N,2,20
100012,,E,F,Graduate,Agr&Env -- General,1955,ON,4009,1967,1966,1884,14,N,0,15
100013,,E,M,Graduate,Arts -- General,1954,AB,1967,1970,1962,747,6,N,0,8
100014,,E,F,Graduate,Science -- General,1967,AB,3685,1975,1969,2690,3,N,3,12
100015,,F,F,Graduate,Arts -- General,1965,NB,45740,1979,1978,1372,9,N,0,15
100016,,E,F,"Graduate, Past Student",Education -- General,1966,ON,403,1979,1979,181,5,N,1,15
100017,,E,F,Graduate,Education -- General,1966,ON,4067,1969,1965,41,7,N,1,8
100018,,E,M,"Graduate, Former Faculty/Staff",Engineer -- Architect,1957,AB,1343,1987,1987,1303,2,N,2,18
100019,,E,M,Graduate,Arts -- General,1959,SK,88,1968,1968,11,5,N,0,14
100020,, ,F,Graduate,Arts -- General,1958,QC,129,1981,1959,102,15,N,3,16
100021,,E,F,Graduate,Arts -- General,1962,AB,12630,1960,1960,8715,2,N,3,19
100022,,E,F,Graduate,Science -- General,1967,BC,0,,,,4,N,0,14
100023,,E,F,Graduate,Arts -- General,1957,ON,2898,1971,1967,2347,10,N,1,13
100024,,E,M,Graduate,Engineer -- General,1954,ON,21665,1954,1953,16249,3,N,2,17
100025,, ,M,Graduate,Science -- General,1968,QC,10,1980,1974,7,1,Y,2,2
100026,,E,M,Graduate,Management,1964,ON,103515,1981,1963,53828,3,N,0,21
100027,,E,F,Graduate,Medicine -- POT,1970,QC,0,,,,4,N,0,4
100028,, ,M,Graduate,Engineer -- General,1963,AB,31640,1965,1963,5695,5,N,3,15
100029,, ,M,Graduate,Medicine -- General,1968,ON,0,,,,3,N,0,8
100030,President,E,F,Graduate,Science -- General,1967,NS,1632,1995,1972,49,10,N,1,7
100031,,E,F,Graduate,Management,1960,ON,1050,1988,1981,725,0,N,1,12
100032,, ,M,Graduate,Management,1953,QC,281220,1979,1969,163108,0,N,2,28
100033,,E,M,Graduate,Engineer -- General,1961,ON,1650,1959,1959,924,15,N,0,7
100034,, ,F,Graduate,Medicine -- General,1958,BC,6557,1956,1956,459,5,N,3,19
100035,,E,M,Graduate,Agr&Env -- Dietetics,1957,BC,1621,1983,1981,1394,3,Y,3,9
100036,,E,F,"Graduate, Past Parent, Former Faculty/Staff",Management,1965,AB,1184760,1992,1965,544990,7,Y,0,27
100037,,E,F,"Graduate, Past Student",Engineer -- General,1954,BC,1033,1970,1967,31,3,N,1,0
100038,,E,M,Graduate,Agr&Env -- General,1953,QC,3545,1956,1956,2978,7,N,2,1
